0.001	0.5
4.526600000000000179e+00 4.500000000000000000e+00 2.500000000000000000e-01
5.062859999999999694e+00 4.000000000000000000e+00 -1.000000000000000000e+00
5.061630000000000074e+00 3.500000000000000000e+00 -1.500000000000000000e+00
5.999060000000000947e+00 4.500000000000000000e+00 0.000000000000000000e+00
4.947449999999999903e+00 5.000000000000000000e+00 -2.000000000000000000e+00
3.938099999999999934e+00 2.500000000000000000e+00 0.000000000000000000e+00
4.423720000000000319e+00 3.500000000000000000e+00 -2.500000000000000000e-01
4.052610000000000490e+00 2.000000000000000000e+00 0.000000000000000000e+00
5.440970000000000084e+00 4.000000000000000000e+00 -5.000000000000000000e-01
4.517949999999999910e+00 5.000000000000000000e+00 -2.500000000000000000e-01
4.568779999999999397e+00 2.000000000000000000e+00 -2.500000000000000000e-01
5.528039999999999843e+00 4.500000000000000000e+00 2.500000000000000000e-01
5.069939999999999891e+00 3.500000000000000000e+00 -2.000000000000000000e+00
6.061410000000000409e+00 4.500000000000000000e+00 -1.000000000000000000e+00
5.078680000000000305e+00 4.000000000000000000e+00 -2.000000000000000000e+00
3.998949999999999783e+00 1.500000000000000000e+00 -1.500000000000000000e+00
5.524610000000000021e+00 2.500000000000000000e+00 -2.000000000000000000e+00
4.472600000000000797e+00 3.000000000000000000e+00 2.500000000000000000e-01
4.060389999999999944e+00 2.000000000000000000e+00 -2.000000000000000000e+00
4.516239999999999810e+00 2.000000000000000000e+00 -5.000000000000000000e-01
6.512510000000000687e+00 4.500000000000000000e+00 -1.500000000000000000e+00
5.517380000000000173e+00 5.000000000000000000e+00 -2.500000000000000000e-01
4.530949999999999811e+00 3.500000000000000000e+00 0.000000000000000000e+00
4.515930000000000000e+00 2.500000000000000000e+00 -5.000000000000000000e-01
6.483369999999999855e+00 4.500000000000000000e+00 0.000000000000000000e+00
4.573510000000000630e+00 3.000000000000000000e+00 -2.500000000000000000e-01
4.926529999999999632e+00 5.000000000000000000e+00 2.500000000000000000e-01
5.029430000000000511e+00 2.000000000000000000e+00 -1.500000000000000000e+00
5.993570000000000064e+00 3.500000000000000000e+00 2.500000000000000000e-01
5.526659999999999684e+00 4.000000000000000000e+00 -2.000000000000000000e+00
6.918109999999999538e+00 4.500000000000000000e+00 0.000000000000000000e+00
4.506630000000000358e+00 3.500000000000000000e+00 2.500000000000000000e-01
5.522070000000000256e+00 3.000000000000000000e+00 -2.000000000000000000e+00
6.023460000000000036e+00 3.500000000000000000e+00 0.000000000000000000e+00
5.037600000000000300e+00 4.500000000000000000e+00 2.500000000000000000e-01
4.547839999999999883e+00 4.000000000000000000e+00 2.500000000000000000e-01
4.456640000000000157e+00 2.500000000000000000e+00 2.500000000000000000e-01
5.571410000000000196e+00 4.000000000000000000e+00 -2.500000000000000000e-01
4.579209999999999781e+00 2.500000000000000000e+00 -2.000000000000000000e+00
5.010060000000000180e+00 3.000000000000000000e+00 -1.500000000000000000e+00
5.532689999999999664e+00 5.000000000000000000e+00 2.500000000000000000e-01
5.048640000000000683e+00 3.000000000000000000e+00 -2.000000000000000000e+00
6.083790000000000475e+00 4.000000000000000000e+00 -2.500000000000000000e-01
4.539310000000000400e+00 1.500000000000000000e+00 -1.500000000000000000e+00
3.984100000000000197e+00 2.000000000000000000e+00 -2.500000000000000000e-01
5.458100000000000840e+00 3.500000000000000000e+00 -5.000000000000000000e-01
6.437199999999999811e+00 4.000000000000000000e+00 0.000000000000000000e+00
5.064720000000000333e+00 4.000000000000000000e+00 2.500000000000000000e-01
5.999180000000000845e+00 3.500000000000000000e+00 -1.000000000000000000e+00
5.515789999999999971e+00 3.000000000000000000e+00 -1.500000000000000000e+00
4.520399999999999530e+00 4.500000000000000000e+00 -2.000000000000000000e+00
5.010209999999999830e+00 2.500000000000000000e+00 2.500000000000000000e-01
5.561149999999999594e+00 3.000000000000000000e+00 -1.000000000000000000e+00
4.932159999999999656e+00 2.000000000000000000e+00 0.000000000000000000e+00
4.993759999999999977e+00 2.500000000000000000e+00 -5.000000000000000000e-01
6.009750000000000369e+00 3.500000000000000000e+00 -2.000000000000000000e+00
4.568069999999999631e+00 3.000000000000000000e+00 -1.000000000000000000e+00
4.996279999999999610e+00 3.000000000000000000e+00 -5.000000000000000000e-01
5.038710000000000022e+00 2.000000000000000000e+00 -2.000000000000000000e+00
4.519520000000000870e+00 4.000000000000000000e+00 -1.500000000000000000e+00
4.062619999999999898e+00 1.500000000000000000e+00 -1.000000000000000000e+00
5.001279999999999504e+00 3.500000000000000000e+00 0.000000000000000000e+00
6.057399999999999451e+00 4.000000000000000000e+00 -1.500000000000000000e+00
4.464920000000000222e+00 4.500000000000000000e+00 -2.500000000000000000e-01
4.580220000000000624e+00 2.500000000000000000e+00 -2.500000000000000000e-01
4.573220000000000063e+00 3.000000000000000000e+00 -1.500000000000000000e+00
4.587560000000000748e+00 4.000000000000000000e+00 -2.000000000000000000e+00
4.022949999999999804e+00 1.500000000000000000e+00 0.000000000000000000e+00
5.466250000000000497e+00 5.000000000000000000e+00 -1.500000000000000000e+00
5.993350000000000399e+00 4.000000000000000000e+00 0.000000000000000000e+00
6.501319999999999766e+00 4.500000000000000000e+00 -2.000000000000000000e+00
4.568189999999999529e+00 4.500000000000000000e+00 -5.000000000000000000e-01
4.969030000000000058e+00 5.000000000000000000e+00 -5.000000000000000000e-01
5.460199999999999498e+00 5.000000000000000000e+00 -1.000000000000000000e+00
5.525350000000000428e+00 4.500000000000000000e+00 -2.000000000000000000e+00
6.443290000000000184e+00 4.500000000000000000e+00 -5.000000000000000000e-01
6.015609999999999680e+00 4.500000000000000000e+00 -1.500000000000000000e+00
5.520290000000000141e+00 3.500000000000000000e+00 -2.000000000000000000e+00
4.524160000000000181e+00 5.000000000000000000e+00 -5.000000000000000000e-01
4.520030000000000214e+00 4.000000000000000000e+00 -1.000000000000000000e+00
6.026670000000000194e+00 4.000000000000000000e+00 2.500000000000000000e-01
4.038660000000000139e+00 2.500000000000000000e+00 -1.000000000000000000e+00
4.512380000000000280e+00 5.000000000000000000e+00 0.000000000000000000e+00
5.517430000000000057e+00 2.500000000000000000e+00 -1.500000000000000000e+00
4.501800000000000246e+00 3.000000000000000000e+00 -5.000000000000000000e-01
5.584220000000000184e+00 4.000000000000000000e+00 -1.500000000000000000e+00
4.985009999999999941e+00 2.000000000000000000e+00 -5.000000000000000000e-01
4.071200000000000152e+00 1.500000000000000000e+00 -2.500000000000000000e-01
5.013740000000000308e+00 2.500000000000000000e+00 0.000000000000000000e+00
4.998050000000000104e+00 3.000000000000000000e+00 0.000000000000000000e+00
4.578819999999999446e+00 4.000000000000000000e+00 -5.000000000000000000e-01
5.500600000000000378e+00 4.000000000000000000e+00 2.500000000000000000e-01
4.951630000000000642e+00 4.500000000000000000e+00 0.000000000000000000e+00
4.978979999999999961e+00 4.000000000000000000e+00 0.000000000000000000e+00
6.444910000000000139e+00 4.500000000000000000e+00 2.500000000000000000e-01
5.463010000000000588e+00 4.500000000000000000e+00 -1.000000000000000000e+00
5.926630000000000287e+00 4.500000000000000000e+00 2.500000000000000000e-01
5.522600000000000620e+00 4.500000000000000000e+00 -2.500000000000000000e-01
5.929030000000000022e+00 3.500000000000000000e+00 -5.000000000000000000e-01
4.530960000000000321e+00 3.000000000000000000e+00 -2.000000000000000000e+00
5.966990000000000016e+00 4.000000000000000000e+00 -5.000000000000000000e-01
4.518640000000000434e+00 2.000000000000000000e+00 -1.500000000000000000e+00
5.007290000000000241e+00 3.000000000000000000e+00 -2.500000000000000000e-01
4.997620000000000395e+00 4.000000000000000000e+00 -2.500000000000000000e-01
4.550880000000000258e+00 4.500000000000000000e+00 -1.500000000000000000e+00
